student_id,畢業年度,班級_標準,座號,報考群類,模1_國文分數,模1_國文級分,模1_英文分數,模1_英文級分,模1_數學分數,模1_數學級分,模1_專一分數,模1_專一級分,模1_專二分數,模1_專二級分,模1_總分數,模1_總分級分,模1_轉換統測分數,模1_跨校排名,模2_國文分數,模2_國文級分,模2_英文分數,模2_英文級分,模2_數學分數,模2_數學級分,模2_專一分數,模2_專一級分,模2_專二分數,模2_專二級分,模2_總分數,模2_總分級分,模2_班級排名,模2_類別排名,模2_跨校排名,模2_轉換統測分數,模3_國文分數,模3_國文級分,模3_英文分數,模3_英文級分,模3_數學分數,模3_數學級分,模3_專一分數,模3_專一級分,模3_專二分數,模3_專二級分,模3_總分數,模3_總分級分,模3_班級排名,模3_類別排名,模3_跨校排名,模3_轉換統測分數,模4_國文分數,模4_國文級分,模4_英文分數,模4_英文級分,模4_數學分數,模4_數學級分,模4_專一分數,模4_專一級分,模4_專二分數,模4_專二級分,模4_總分數,模4_總分級分,模4_班級排名,模4_類別排名,模4_跨校排名,模4_轉換統測分數,模5_國文分數,模5_國文級分,模5_英文分數,模5_英文級分,模5_數學分數,模5_數學級分,模5_專一分數,模5_專一級分,模5_專二分數,模5_專二級分,模5_總分數,模5_總分級分,模5_班級排名,模5_類別排名,模5_跨校排名,模5_轉換統測分數,統測_國文分數,統測_國文級分,統測_英文分數,統測_英文級分,統測_數學B分數,統測_數學B級分,統測_專一分數,統測_專一級分,統測_專二分數,統測_專二級分,統測_總分數,統測_總分級分
112-商經406,112,134,6.0,09商業與管理群,76.0,13.0,55.25,9.0,68.0,11.0,78.0,12.0,82.0,13.0,359.25,58.0,552.0,,72.0,12.0,71.5,11.0,72.0,11.0,94.0,15.0,82.0,13.0,391.5,62.0,,,,598.0,62.0,11.0,70.0,11.0,68.0,11.0,74.0,12.0,76.0,12.0,350.0,57.0,,,,543.0,55.0,9.0,55.0,9.0,,,,,80.0,13.0,,34.0,,,,405.0,68.0,12.0,71.75,11.0,68.0,11.0,64.0,10.0,52.0,8.0,323.75,52.0,,,,505.0,74.0,12.0,77.0,12.0,80.0,13.0,78.0,12.0,66.0,11.0,375.0,60.0
112-商經407,112,134,7.0,09商業與管理群,54.0,9.0,52.5,8.0,56.0,9.0,78.0,12.0,64.0,10.0,304.5,48.0,482.0,,54.0,9.0,50.5,8.0,76.0,12.0,88.0,14.0,72.0,11.0,340.5,54.0,,,,511.0,64.0,11.0,45.25,7.0,48.0,8.0,74.0,12.0,46.0,7.0,277.25,45.0,,,,451.0,47.0,8.0,47.0,8.0,64.0,10.0,64.0,10.0,68.0,11.0,290.0,51.0,,,,488.0,40.0,7.0,60.25,10.0,44.0,7.0,72.0,11.0,66.0,11.0,282.25,46.0,,,,500.0,56.0,9.0,57.0,9.0,60.0,10.0,78.0,12.0,52.0,9.0,303.0,49.0
112-商經408,112,134,8.0,09商業與管理群,52.0,9.0,68.75,11.0,84.0,13.0,64.0,10.0,66.0,10.0,334.75,53.0,476.0,,74.0,12.0,84.75,13.0,88.0,14.0,68.0,11.0,70.0,11.0,384.75,61.0,,,,525.0,66.0,12.0,84.25,13.0,36.0,6.0,66.0,10.0,64.0,10.0,316.25,51.0,,,,532.0,73.75,12.0,73.75,12.0,76.0,12.0,66.0,10.0,78.0,12.0,367.5,56.0,,,,528.0,52.0,9.0,88.0,14.0,56.0,9.0,58.0,9.0,54.0,9.0,308.0,50.0,,,,487.0,56.0,9.0,94.0,15.0,80.0,13.0,64.0,10.0,64.0,11.0,358.0,58.0
112-商經409,112,134,9.0,09商業與管理群,64.0,11.0,64.75,10.0,76.0,12.0,78.0,12.0,66.0,10.0,348.75,55.0,516.0,,66.0,11.0,70.75,11.0,60.0,10.0,70.0,11.0,58.0,9.0,324.75,52.0,,,,477.0,60.0,11.0,61.5,10.0,44.0,7.0,62.0,10.0,58.0,9.0,285.5,47.0,,,,473.0,55.0,9.0,55.0,9.0,68.0,11.0,64.0,10.0,54.0,9.0,296.0,50.0,,,,466.0,54.0,9.0,78.0,12.0,68.0,11.0,64.0,10.0,48.0,8.0,312.0,50.0,,,,480.0,52.0,9.0,74.0,12.0,80.0,13.0,68.0,11.0,52.0,9.0,326.0,54.0
112-商經410,112,134,10.0,09商業與管理群,64.0,11.0,53.25,9.0,88.0,14.0,94.0,15.0,92.0,14.0,391.25,63.0,582.0,,72.0,12.0,66.25,10.0,100.0,15.0,88.0,14.0,82.0,13.0,408.25,64.0,,,,574.0,66.0,12.0,62.75,10.0,40.0,7.0,90.0,14.0,88.0,14.0,346.75,57.0,,,,582.0,57.0,9.0,57.0,9.0,88.0,14.0,82.0,13.0,92.0,14.0,376.0,63.0,,,,589.0,58.0,10.0,63.0,10.0,84.0,13.0,82.0,13.0,86.0,14.0,373.0,60.0,,,,573.0,72.0,12.0,79.0,12.0,96.0,15.0,80.0,13.0,80.0,13.0,407.0,65.0
112-商經101,112,131,1.0,09商業與管理群,76.0,13.0,38.75,6.0,52.0,8.0,82.0,13.0,52.0,8.0,300.75,48.0,465.0,,88.0,15.0,29.0,5.0,68.0,11.0,68.0,11.0,54.0,9.0,307.0,51.0,,,,444.0,70.0,12.0,27.0,5.0,24.0,4.0,58.0,9.0,50.0,8.0,229.0,38.0,,,,422.0,70.0,12.0,22.25,4.0,60.0,10.0,58.0,9.0,78.0,12.0,288.25,47.0,,,,461.0,60.0,10.0,25.25,4.0,56.0,9.0,66.0,10.0,46.0,8.0,253.25,41.0,,,,428.0,82.0,13.0,19.5,3.0,68.0,11.0,62.0,10.0,56.0,9.0,287.5,46.0
112-商經413,112,134,13.0,09商業與管理群,74.0,12.0,29.75,5.0,64.0,10.0,62.0,10.0,48.0,8.0,277.75,45.0,398.0,,70.0,12.0,45.0,7.0,52.0,8.0,68.0,11.0,52.0,8.0,287.0,46.0,,,,425.0,60.0,11.0,44.0,7.0,28.0,5.0,52.0,8.0,24.0,4.0,208.0,35.0,,,,337.0,31.0,5.0,31.0,5.0,52.0,8.0,62.0,10.0,74.0,12.0,250.0,47.0,,,,473.0,66.0,11.0,52.5,8.0,56.0,9.0,72.0,11.0,60.0,10.0,306.5,49.0,,,,513.0,76.0,12.0,51.5,8.0,56.0,9.0,50.0,8.0,64.0,11.0,297.5,48.0
112-商經414,112,134,14.0,09商業與管理群,74.0,12.0,46.75,8.0,68.0,11.0,86.0,13.0,68.0,11.0,342.75,55.0,527.0,,,,,,,,,,,,,,,,,,62.0,11.0,64.25,10.0,48.0,8.0,80.0,13.0,70.0,11.0,324.25,53.0,,,,540.0,41.0,7.0,41.0,7.0,68.0,11.0,70.0,11.0,76.0,12.0,296.0,52.0,,,,500.0,58.0,10.0,67.75,11.0,52.0,8.0,78.0,12.0,70.0,11.0,325.75,52.0,,,,552.0,74.0,12.0,71.0,11.0,56.0,9.0,72.0,12.0,68.0,11.0,341.0,55.0
112-商經415,112,134,15.0,07設計群,60.0,10.0,49.5,8.0,24.0,4.0,64.0,10.0,42.0,7.0,239.5,39.0,392.0,,70.0,12.0,38.0,6.0,28.0,5.0,50.0,8.0,42.0,7.0,228.0,38.0,,,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,10.0,24.5,4.0,40.0,7.0,34.0,6.0,28.5,5.0,189.0,32.0
112-商經416,112,134,16.0,09商業與管理群,66.0,11.0,55.0,9.0,64.0,10.0,72.0,11.0,54.0,9.0,311.0,50.0,460.0,,58.0,10.0,62.0,10.0,52.0,8.0,66.0,10.0,54.0,9.0,292.0,47.0,,,,436.0,60.0,11.0,53.5,9.0,40.0,7.0,58.0,9.0,46.0,7.0,257.5,43.0,,,,423.0,50.0,8.0,50.0,8.0,40.0,7.0,68.0,11.0,38.0,6.0,246.0,44.0,,,,438.0,38.0,7.0,48.0,8.0,36.0,6.0,62.0,10.0,42.0,7.0,226.0,38.0,,,,404.0,72.0,12.0,59.5,9.0,28.0,5.0,62.0,10.0,44.0,8.0,265.5,44.0
