student_id,畢業年度,班級_標準,座號,報考群類,模1_國文分數,模1_國文級分,模1_英文分數,模1_英文級分,模1_數學分數,模1_數學級分,模1_專一分數,模1_專一級分,模1_專二分數,模1_專二級分,模1_總分數,模1_總分級分,模1_轉換統測分數,模1_跨校排名,模2_國文分數,模2_國文級分,模2_英文分數,模2_英文級分,模2_數學分數,模2_數學級分,模2_專一分數,模2_專一級分,模2_專二分數,模2_專二級分,模2_總分數,模2_總分級分,模2_班級排名,模2_類別排名,模2_跨校排名,模2_轉換統測分數,模3_國文分數,模3_國文級分,模3_英文分數,模3_英文級分,模3_數學分數,模3_數學級分,模3_專一分數,模3_專一級分,模3_專二分數,模3_專二級分,模3_總分數,模3_總分級分,模3_班級排名,模3_類別排名,模3_跨校排名,模3_轉換統測分數,模4_國文分數,模4_國文級分,模4_英文分數,模4_英文級分,模4_數學分數,模4_數學級分,模4_專一分數,模4_專一級分,模4_專二分數,模4_專二級分,模4_總分數,模4_總分級分,模4_班級排名,模4_類別排名,模4_跨校排名,模4_轉換統測分數,模5_國文分數,模5_國文級分,模5_英文分數,模5_英文級分,模5_數學分數,模5_數學級分,模5_專一分數,模5_專一級分,模5_專二分數,模5_專二級分,模5_總分數,模5_總分級分,模5_班級排名,模5_類別排名,模5_跨校排名,模5_轉換統測分數,統測_國文分數,統測_國文級分,統測_英文分數,統測_英文級分,統測_數學B分數,統測_數學B級分,統測_專一分數,統測_專一級分,統測_專二分數,統測_專二級分,統測_總分數,統測_總分級分
112-資料333,112,433,33.0,09商業與管理群,68.0,11.0,56.75,9.0,52.0,8.0,78.0,12.0,62.0,10.0,316.75,49.0,483.0,,66.0,11.0,70.25,11.0,44.0,7.0,84.0,13.0,56.0,9.0,320.25,51.0,,,,511.0,56.0,10.0,63.0,10.0,36.0,6.0,84.0,13.0,60.0,10.0,299.0,49.0,,,,513.0,78.0,14.0,51.0,8.0,64.0,10.0,72.0,11.0,80.0,13.0,345.0,56.0,,,,550.0,60.0,10.0,54.75,9.0,52.0,8.0,78.0,12.0,56.0,9.0,300.75,48.0,,,,510.0,76.0,12.0,73.0,11.0,52.0,8.0,76.0,12.0,62.0,10.0,339.0,53.0
112-資料334,112,433,34.0,09商業與管理群,72.0,12.0,42.5,7.0,56.0,9.0,86.0,13.0,66.0,10.0,322.5,57.0,567.0,,78.0,13.0,50.0,8.0,80.0,13.0,82.0,13.0,66.0,10.0,356.0,57.0,,,,514.0,74.0,13.0,60.25,10.0,56.0,9.0,64.0,10.0,64.0,10.0,318.25,52.0,,,,512.0,78.0,14.0,41.0,7.0,68.0,11.0,70.0,11.0,74.0,12.0,331.0,55.0,,,,520.0,68.0,12.0,56.0,9.0,64.0,10.0,74.0,12.0,58.0,9.0,320.0,52.0,,,,519.0,76.0,12.0,72.0,11.0,60.0,10.0,74.0,12.0,62.0,10.0,344.0,55.0
112-資料335,112,433,35.0,09商業與管理群,76.0,13.0,78.75,12.0,48.0,8.0,62.0,10.0,48.0,8.0,312.75,41.0,376.0,,78.0,13.0,95.75,15.0,60.0,10.0,100.0,15.0,66.0,10.0,399.75,63.0,,,,610.0,78.0,14.0,92.5,14.0,52.0,8.0,72.0,11.0,62.0,10.0,356.5,57.0,,,,565.0,74.0,13.0,80.5,13.0,60.0,10.0,74.0,12.0,80.0,13.0,368.5,61.0,,,,581.0,62.0,11.0,87.0,14.0,36.0,6.0,72.0,11.0,60.0,10.0,317.0,52.0,,,,545.0,82.0,13.0,90.0,14.0,52.0,8.0,72.0,12.0,54.0,9.0,350.0,56.0
112-資料336,112,433,36.0,09商業與管理群,64.0,11.0,20.0,4.0,48.0,8.0,62.0,10.0,48.0,8.0,242.0,41.0,376.0,,66.0,11.0,18.75,3.0,48.0,8.0,60.0,10.0,42.0,7.0,234.75,39.0,,,,361.0,60.0,11.0,21.0,4.0,44.0,7.0,60.0,10.0,64.0,10.0,249.0,42.0,,,,437.0,64.0,11.0,24.0,4.0,24.0,4.0,52.0,8.0,66.0,10.0,230.0,37.0,,,,419.0,46.0,8.0,28.25,5.0,48.0,8.0,60.0,10.0,58.0,9.0,240.25,40.0,,,,423.0,66.0,11.0,25.0,4.0,60.0,10.0,60.0,10.0,54.0,9.0,265.0,44.0
112-綜職104,112,631,4.0,04電機與電子群資電類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,4.0,23.0,4.0,32.0,5.0,22.0,4.0,32.0,5.0,131.0,22.0
112-綜職108,112,631,8.0,13家政群生活應用類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,5.0,30.0,5.0,28.0,5.0,48.0,8.0,50.0,8.0,188.0,31.0
112-綜職205,112,632,5.0,17餐旅群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,5.0,24.0,4.0,24.0,4.0,26.0,5.0,22.0,4.0,124.0,22.0
112-綜高103,112,531,3.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高105,112,531,5.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高106,112,531,6.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高107,112,531,7.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,10.0,65.5,10.0,60.0,10.0,72.0,12.0,70.0,12.0,327.5,54.0
112-綜高108,112,531,8.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高114,112,531,14.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高117,112,531,17.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高119,112,531,19.0,15外語群英語類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高120,112,531,20.0,14農業群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,10.0,74.5,12.0,48.0,8.0,46.0,8.0,28.0,5.0,258.5,43.0
112-綜高122,112,531,22.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高123,112,531,23.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高126,112,531,26.0,14農業群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,10.0,66.0,10.0,40.0,7.0,52.0,9.0,44.0,8.0,266.0,44.0
112-綜高131,112,531,31.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高205,112,532,5.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,11.0,53.5,9.0,64.0,10.0,78.0,13.0,64.0,11.0,329.5,54.0
112-綜高206,112,532,6.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,9.0,79.0,12.0,84.0,13.0,52.0,9.0,56.0,10.0,327.0,53.0
112-綜高207,112,532,7.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,10.0,45.5,7.0,64.0,10.0,36.0,6.0,64.0,10.0,269.5,43.0
112-綜高209,112,532,9.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,10.0,65.0,10.0,72.0,11.0,46.0,8.0,66.0,11.0,307.0,50.0
112-綜高210,112,532,10.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高211,112,532,11.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高216,112,532,16.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,9.0,49.0,8.0,40.0,7.0,20.0,4.0,56.0,9.0,221.0,37.0
112-綜高217,112,532,17.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,11.0,86.5,13.0,56.0,9.0,62.0,10.0,52.0,9.0,324.5,52.0
112-綜高219,112,532,19.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,11.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,18.0
112-綜高220,112,532,20.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高222,112,532,22.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,11.0,44.0,7.0,36.0,6.0,54.0,9.0,48.0,8.0,250.0,41.0
112-綜高223,112,532,23.0,08工程與管理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,12.0,76.5,12.0,24.0,4.0,40.0,7.0,44.0,8.0,258.5,43.0
112-綜高224,112,532,24.0,15外語群英語類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,8.0,81.0,13.0,52.0,8.0,46.0,8.0,54.0,9.0,283.0,46.0
112-綜高226,112,532,26.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-綜高228,112,532,28.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,11.0,49.5,8.0,80.0,13.0,36.0,6.0,62.0,10.0,295.5,48.0
112-綜高229,112,532,29.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,11.0,73.5,12.0,100.0,15.0,42.0,7.0,74.0,12.0,355.5,57.0
112-綜高231,112,532,31.0,10衛生與護理類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112-商經102,112,131,2.0,09商業與管理群,72.0,12.0,41.75,7.0,64.0,10.0,80.0,13.0,74.0,12.0,331.75,54.0,512.0,,70.0,12.0,48.0,8.0,64.0,10.0,68.0,11.0,66.0,10.0,316.0,51.0,,,,462.0,68.0,12.0,60.0,10.0,40.0,7.0,68.0,11.0,60.0,10.0,296.0,50.0,,,,499.0,62.0,11.0,27.5,5.0,64.0,10.0,74.0,12.0,76.0,12.0,303.5,50.0,,,,492.0,62.0,11.0,57.5,9.0,44.0,7.0,82.0,13.0,72.0,12.0,317.5,52.0,,,,556.0,70.0,11.0,50.5,8.0,68.0,11.0,74.0,12.0,70.0,12.0,332.5,54.0
112-商經103,112,131,3.0,09商業與管理群,72.0,12.0,67.0,11.0,32.0,5.0,82.0,13.0,34.0,6.0,287.0,47.0,456.0,,68.0,11.0,77.0,12.0,44.0,7.0,78.0,12.0,54.0,9.0,321.0,51.0,,,,499.0,70.0,12.0,73.75,12.0,28.0,5.0,54.0,9.0,42.0,7.0,267.75,45.0,,,,451.0,60.0,11.0,53.5,9.0,36.0,6.0,72.0,11.0,42.0,7.0,263.5,44.0,,,,456.0,58.0,10.0,53.5,9.0,32.0,5.0,64.0,10.0,36.0,6.0,243.5,40.0,,,,423.0,66.0,11.0,63.5,10.0,36.0,6.0,64.0,10.0,34.0,6.0,263.5,43.0
112-商經104,112,131,4.0,09商業與管理群,48.0,8.0,23.75,4.0,12.0,2.0,82.0,13.0,50.0,8.0,215.75,35.0,410.0,,64.0,11.0,38.0,6.0,48.0,8.0,72.0,11.0,46.0,7.0,268.0,43.0,,,,405.0,66.0,12.0,45.75,7.0,20.0,4.0,76.0,12.0,44.0,7.0,251.75,42.0,,,,452.0,52.0,9.0,35.75,6.0,40.0,7.0,76.0,12.0,46.0,7.0,249.75,41.0,,,,438.0,46.0,8.0,36.0,6.0,52.0,8.0,70.0,11.0,,,,33.0,,,,309.0,66.0,11.0,48.0,8.0,32.0,5.0,66.0,11.0,46.0,8.0,258.0,43.0
112-商經105,112,131,5.0,09商業與管理群,72.0,12.0,47.0,8.0,84.0,13.0,94.0,15.0,82.0,13.0,379.0,61.0,568.0,,74.0,12.0,57.25,9.0,84.0,13.0,86.0,13.0,92.0,14.0,393.25,61.0,,,,572.0,70.0,12.0,54.75,9.0,60.0,10.0,88.0,14.0,90.0,14.0,362.75,59.0,,,,576.0,74.0,13.0,39.0,6.0,96.0,15.0,82.0,13.0,92.0,14.0,383.0,61.0,,,,565.0,64.0,11.0,53.0,8.0,60.0,10.0,82.0,13.0,78.0,12.0,337.0,54.0,,,,558.0,68.0,11.0,55.0,9.0,96.0,15.0,80.0,13.0,86.0,14.0,385.0,62.0
112-商經106,112,131,6.0,09商業與管理群,24.0,4.0,31.5,5.0,28.0,5.0,38.0,6.0,58.0,9.0,179.5,29.0,353.0,,34.0,6.0,38.25,6.0,32.0,5.0,42.0,7.0,56.0,9.0,202.25,33.0,,,,362.0,14.0,3.0,25.0,4.0,16.0,3.0,34.0,6.0,62.0,10.0,151.0,26.0,,,,365.0,20.0,4.0,42.0,7.0,16.0,3.0,34.0,6.0,32.0,5.0,144.0,25.0,,,,315.0,36.0,6.0,19.0,3.0,32.0,5.0,28.0,5.0,26.0,4.0,141.0,23.0,,,,276.0,32.0,5.0,30.0,5.0,40.0,7.0,24.0,4.0,26.0,5.0,152.0,26.0
112-商經107,112,131,7.0,09商業與管理群,68.0,11.0,45.0,7.0,60.0,10.0,74.0,12.0,66.0,10.0,313.0,50.0,481.0,,62.0,10.0,44.0,7.0,76.0,12.0,78.0,12.0,72.0,11.0,332.0,52.0,,,,484.0,60.0,11.0,44.0,7.0,32.0,5.0,62.0,10.0,58.0,9.0,256.0,42.0,,,,444.0,56.0,10.0,37.5,6.0,80.0,13.0,66.0,10.0,64.0,10.0,303.5,49.0,,,,459.0,52.0,9.0,44.25,7.0,56.0,9.0,68.0,11.0,66.0,11.0,286.25,47.0,,,,484.0,56.0,9.0,47.5,8.0,80.0,13.0,58.0,9.0,56.0,9.0,297.5,48.0
112-商經108,112,131,8.0,09商業與管理群,76.0,13.0,39.75,7.0,64.0,10.0,90.0,14.0,68.0,11.0,337.75,55.0,527.0,,68.0,11.0,69.0,11.0,96.0,15.0,74.0,12.0,78.0,12.0,385.0,61.0,,,,526.0,62.0,11.0,54.75,9.0,56.0,9.0,82.0,13.0,68.0,11.0,322.75,53.0,,,,523.0,62.0,11.0,51.75,8.0,76.0,12.0,80.0,13.0,86.0,13.0,355.75,57.0,,,,558.0,56.0,10.0,56.0,9.0,60.0,10.0,72.0,11.0,86.0,14.0,330.0,54.0,,,,542.0,62.0,10.0,49.5,8.0,60.0,10.0,72.0,12.0,64.0,11.0,307.5,51.0
112-商經109,112,131,9.0,09商業與管理群,64.0,11.0,58.5,9.0,64.0,10.0,74.0,12.0,68.0,11.0,328.5,53.0,503.0,,74.0,12.0,74.25,12.0,64.0,10.0,86.0,13.0,72.0,11.0,370.25,58.0,,,,567.0,60.0,11.0,71.0,11.0,52.0,8.0,68.0,11.0,58.0,9.0,309.0,50.0,,,,497.0,70.0,12.0,57.0,9.0,72.0,11.0,64.0,10.0,74.0,12.0,337.0,54.0,,,,518.0,50.0,9.0,58.0,9.0,44.0,7.0,78.0,12.0,58.0,9.0,288.0,46.0,,,,504.0,74.0,12.0,79.0,12.0,76.0,12.0,78.0,12.0,74.0,12.0,381.0,60.0
112-商經110,112,131,10.0,09商業與管理群,64.0,11.0,59.0,9.0,80.0,13.0,82.0,13.0,56.0,9.0,341.0,55.0,491.0,,64.0,11.0,73.75,12.0,80.0,13.0,84.0,13.0,72.0,11.0,373.75,60.0,,,,545.0,64.0,11.0,58.25,9.0,40.0,7.0,80.0,13.0,74.0,12.0,316.25,52.0,,,,540.0,60.0,11.0,53.0,8.0,80.0,13.0,72.0,11.0,76.0,12.0,341.0,55.0,,,,522.0,54.0,9.0,59.0,9.0,64.0,10.0,68.0,11.0,64.0,10.0,309.0,49.0,,,,502.0,58.0,10.0,71.5,11.0,84.0,13.0,70.0,11.0,56.0,9.0,339.5,54.0
112-商經111,112,131,11.0,09商業與管理群,70.0,12.0,50.75,8.0,72.0,11.0,84.0,13.0,76.0,12.0,352.75,56.0,539.0,,80.0,13.0,66.75,11.0,72.0,11.0,90.0,14.0,94.0,15.0,402.75,64.0,,,,606.0,72.0,13.0,57.5,9.0,48.0,8.0,90.0,14.0,86.0,13.0,353.5,57.0,,,,583.0,78.0,14.0,46.25,7.0,84.0,13.0,80.0,13.0,92.0,14.0,380.25,61.0,,,,580.0,64.0,11.0,63.25,10.0,68.0,11.0,86.0,13.0,76.0,12.0,357.25,57.0,,,,579.0,74.0,12.0,61.5,10.0,84.0,13.0,82.0,13.0,84.0,14.0,385.5,62.0
112-商經112,112,131,12.0,15外語群英語類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,11.0,63.0,10.0,44.0,7.0,54.0,9.0,52.0,9.0,283.0,46.0
112-商經113,112,131,13.0,09商業與管理群,66.0,11.0,70.0,11.0,100.0,15.0,92.0,14.0,80.0,13.0,408.0,64.0,586.0,,66.0,11.0,80.5,13.0,80.0,13.0,100.0,15.0,94.0,15.0,420.5,67.0,,,,624.0,62.0,11.0,58.25,9.0,56.0,9.0,88.0,14.0,90.0,14.0,354.25,57.0,,,,569.0,62.0,11.0,59.0,9.0,96.0,15.0,84.0,13.0,86.0,13.0,387.0,61.0,,,,574.0,54.0,9.0,60.25,10.0,72.0,11.0,86.0,13.0,80.0,13.0,352.25,56.0,,,,567.0,68.0,11.0,69.0,11.0,88.0,14.0,82.0,13.0,72.0,12.0,379.0,61.0
112-商經114,112,131,14.0,09商業與管理群,74.0,12.0,61.5,10.0,84.0,13.0,94.0,15.0,70.0,11.0,383.5,61.0,575.0,,74.0,12.0,84.5,13.0,100.0,15.0,90.0,14.0,80.0,13.0,428.5,67.0,,,,601.0,76.0,13.0,72.5,11.0,56.0,9.0,94.0,15.0,86.0,13.0,384.5,61.0,,,,619.0,84.0,15.0,67.75,11.0,92.0,14.0,90.0,14.0,86.0,13.0,419.75,67.0,,,,625.0,68.0,12.0,76.5,12.0,68.0,11.0,90.0,14.0,76.0,12.0,378.5,61.0,,,,608.0,74.0,12.0,88.0,14.0,80.0,13.0,84.0,13.0,78.0,13.0,404.0,65.0
112-商經115,112,131,15.0,09商業與管理群,60.0,10.0,26.0,4.0,52.0,8.0,86.0,13.0,34.0,6.0,258.0,41.0,391.0,,60.0,10.0,50.0,8.0,64.0,10.0,68.0,11.0,40.0,7.0,282.0,46.0,,,,387.0,56.0,10.0,39.0,6.0,48.0,8.0,60.0,10.0,54.0,9.0,257.0,43.0,,,,419.0,56.0,10.0,38.25,6.0,68.0,11.0,62.0,10.0,62.0,10.0,286.25,47.0,,,,448.0,44.0,8.0,42.25,7.0,64.0,10.0,78.0,12.0,64.0,10.0,292.25,47.0,,,,487.0,48.0,8.0,25.0,4.0,48.0,8.0,54.0,9.0,26.0,5.0,201.0,34.0
112-商經116,112,131,16.0,09商業與管理群,56.0,9.0,45.25,7.0,56.0,9.0,78.0,12.0,54.0,9.0,289.25,46.0,446.0,,72.0,12.0,60.75,10.0,56.0,9.0,82.0,13.0,70.0,11.0,340.75,55.0,,,,529.0,68.0,12.0,66.75,11.0,44.0,7.0,68.0,11.0,54.0,9.0,300.75,50.0,,,,496.0,78.0,14.0,54.25,9.0,64.0,10.0,66.0,10.0,60.0,10.0,322.25,53.0,,,,506.0,68.0,12.0,55.0,9.0,48.0,8.0,68.0,11.0,40.0,7.0,279.0,47.0,,,,460.0,72.0,12.0,55.5,9.0,52.0,8.0,74.0,12.0,60.0,10.0,313.5,51.0
112-商經117,112,131,17.0,09商業與管理群,,,,,,,,,,,,,,,76.0,13.0,88.0,14.0,48.0,8.0,82.0,13.0,60.0,10.0,354.0,58.0,,,,545.0,76.0,13.0,81.5,13.0,24.0,4.0,74.0,12.0,70.0,11.0,325.5,53.0,,,,573.0,74.0,13.0,73.75,12.0,44.0,7.0,68.0,11.0,78.0,12.0,337.75,55.0,,,,559.0,64.0,11.0,87.25,14.0,52.0,8.0,74.0,12.0,62.0,10.0,339.25,55.0,,,,556.0,64.0,10.0,86.0,13.0,44.0,7.0,74.0,12.0,60.0,10.0,328.0,52.0
112-商經118,112,131,18.0,52家政群,42.0,7.0,21.0,4.0,40.0,7.0,52.0,8.0,34.0,6.0,189.0,32.0,303.0,,42.0,7.0,43.25,7.0,16.0,3.0,46.0,7.0,26.0,4.0,173.25,28.0,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,32.0,5.0,24.0,4.0,56.0,9.0,52.0,8.0,202.0,32.0
112-商經119,112,131,19.0,09商業與管理群,88.0,15.0,69.0,11.0,72.0,11.0,90.0,14.0,78.0,12.0,397.0,63.0,608.0,,88.0,15.0,87.75,14.0,72.0,11.0,84.0,13.0,80.0,13.0,411.75,66.0,,,,606.0,82.0,14.0,73.0,11.0,44.0,7.0,86.0,13.0,84.0,13.0,369.0,58.0,,,,609.0,78.0,14.0,63.75,10.0,80.0,13.0,84.0,13.0,90.0,14.0,395.75,64.0,,,,607.0,72.0,12.0,84.5,13.0,60.0,10.0,86.0,13.0,70.0,11.0,372.5,59.0,,,,602.0,82.0,13.0,86.5,13.0,72.0,11.0,70.0,11.0,56.0,9.0,366.5,57.0
112-商經120,112,131,20.0,09商業與管理群,82.0,14.0,49.75,8.0,60.0,10.0,80.0,13.0,66.0,10.0,337.75,55.0,525.0,,78.0,13.0,69.0,11.0,72.0,11.0,92.0,14.0,78.0,12.0,389.0,61.0,,,,590.0,72.0,13.0,69.5,11.0,20.0,4.0,84.0,13.0,72.0,11.0,317.5,52.0,,,,573.0,80.0,14.0,51.5,8.0,72.0,11.0,80.0,13.0,82.0,13.0,365.5,59.0,,,,575.0,66.0,11.0,60.25,10.0,44.0,7.0,74.0,12.0,78.0,12.0,322.25,52.0,,,,558.0,74.0,12.0,67.0,11.0,64.0,10.0,68.0,11.0,66.0,11.0,339.0,55.0
112-商經121,112,131,21.0,09商業與管理群,76.0,13.0,62.0,10.0,80.0,13.0,90.0,14.0,74.0,12.0,382.0,62.0,574.0,,80.0,13.0,73.5,12.0,76.0,12.0,92.0,14.0,90.0,14.0,411.5,65.0,,,,616.0,80.0,14.0,69.0,11.0,56.0,9.0,90.0,14.0,90.0,14.0,385.0,62.0,,,,615.0,66.0,12.0,52.25,8.0,72.0,11.0,90.0,14.0,94.0,15.0,374.25,60.0,,,,595.0,52.0,9.0,82.5,13.0,72.0,11.0,96.0,15.0,86.0,14.0,388.5,62.0,,,,614.0,82.0,13.0,77.25,12.0,84.0,13.0,88.0,14.0,74.0,12.0,405.25,64.0
112-商經122,112,131,22.0,09商業與管理群,72.0,12.0,50.0,8.0,56.0,9.0,92.0,14.0,84.0,13.0,354.0,56.0,571.0,,74.0,12.0,72.25,11.0,80.0,13.0,86.0,13.0,80.0,13.0,392.25,62.0,,,,577.0,66.0,12.0,55.75,9.0,40.0,7.0,84.0,13.0,72.0,11.0,317.75,52.0,,,,542.0,70.0,12.0,58.25,9.0,88.0,14.0,78.0,12.0,90.0,14.0,384.25,61.0,,,,580.0,58.0,10.0,74.25,12.0,36.0,6.0,84.0,13.0,86.0,14.0,338.25,55.0,,,,592.0,72.0,12.0,55.75,9.0,68.0,11.0,74.0,12.0,80.0,13.0,349.75,57.0
