年度,招生群類別,志願代碼,權重組別,學校名稱,系科組學程名稱,各科目加權,招生名額,錄取人數,錄取總分數,同分參酌分數,學校類型,科系分類
112,09商業與管理群,09001,I49,國立臺灣科技大學,工業管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.00 + 專業(二)*3.00,6,6,759.88,,國立科大,商管類
112,09商業與管理群,09002,I54,國立臺灣科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,13,13,564.5,,國立科大,商管類
112,09商業與管理群,09003,I54,國立臺灣科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,11,11,583.75,,國立科大,資訊類
112,09商業與管理群,09004,I47,國立臺灣科技大學,應用外語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,3,3,715.0,,國立科大,語文類
112,09商業與管理群,09005,I54,國立雲林科技大學,工業工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,20,20,508.0,,國立科大,工程類
112,09商業與管理群,09006,I30,國立雲林科技大學,企業管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,12,12,661.0,,國立科大,商管類
112,09商業與管理群,09007,I3,國立雲林科技大學,資訊管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,7,7,869.0,,國立科大,資訊類
112,09商業與管理群,09008,I3,國立雲林科技大學,財務金融系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,10,10,836.0,,國立科大,商管類
112,09商業與管理群,09009,I4,國立雲林科技大學,會計系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,8,8,749.5,,國立科大,商管類
112,09商業與管理群,09010,I30,國立雲林科技大學,國際管理學士學位學程,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,3,3,671.0,76.0,國立科大,商管類
112,09商業與管理群,09011,I1,國立雲林科技大學,應用外語系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,6,6,796.0,,國立科大,語文類
112,09商業與管理群,09012,I54,國立雲林科技大學,文化資產維護系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,4,4,470.5,,國立科大,藝術人文類
112,09商業與管理群,09013,I25,國立屏東科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*2.00,41,41,459.0,,國立科大,資訊類
112,09商業與管理群,09014,I21,國立屏東科技大學,工業管理系,國文*1.25 + 英文*1.25 + 數學*1.25 + 專業(一)*3.00 + 專業(二)*2.00,53,53,472.25,62.0,國立科大,商管類
112,09商業與管理群,09015,I42,國立屏東科技大學,企業管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.25 + 專業(二)*2.75,62,62,484.25,,國立科大,商管類
112,09商業與管理群,09016,I30,國立屏東科技大學,財務金融國際學士學位學程,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,5,5,548.0,70.0,國立科大,商管類
112,09商業與管理群,09017,I54,國立屏東科技大學,社會工作系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,11,11,376.75,,國立科大,社會法政類
112,09商業與管理群,09018,I54,國立屏東科技大學,休閒運動健康系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,6,6,388.5,,國立科大,餐旅觀光類
112,09商業與管理群,09019,I30,國立屏東科技大學,應用外語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,9,9,505.0,,國立科大,語文類
112,09商業與管理群,09020,I32,國立臺北科技大學,工業工程與管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.50 + 專業(二)*2.50,10,10,720.5,,國立科大,工程類
112,09商業與管理群,09021,I3,國立臺北科技大學,經營管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,12,12,868.5,,國立科大,商管類
112,09商業與管理群,09022,I16,國立臺北科技大學,資訊與財金管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,11,11,744.5,,國立科大,資訊類
112,09商業與管理群,09023,I30,國立臺北科技大學,文化事業發展系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,7,7,679.0,,國立科大,其他
112,09商業與管理群,09024,I54,國立高雄科技大學,工業工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,17,17,460.25,,國立科大,工程類
112,09商業與管理群,09025,I47,國立高雄科技大學,國際企業系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,12,12,600.0,72.0,國立科大,商管類
112,09商業與管理群,09026,I50,國立高雄科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,31,31,508.5,70.0,國立科大,商管類
112,09商業與管理群,09027,I3,國立高雄科技大學,資訊管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,14,14,792.0,80.0,國立科大,資訊類
112,09商業與管理群,09028,I3,國立高雄科技大學,運籌管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,13,13,726.5,,國立科大,商管類
112,09商業與管理群,09029,I54,國立高雄科技大學,行銷與流通管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,11,11,478.25,,國立科大,商管類
112,09商業與管理群,09030,I3,國立高雄科技大學,風險管理與保險系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,17,17,711.0,,國立科大,商管類
112,09商業與管理群,09031,I18,國立高雄科技大學,金融系,國文*1.00 + 英文*1.50 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*2.50,10,10,730.38,,國立科大,商管類
112,09商業與管理群,09032,I2,國立高雄科技大學,財務管理系,國文*1.50 + 英文*2.00 + 數學*1.50 + 專業(一)*3.00 + 專業(二)*3.00,13,13,785.0,,國立科大,商管類
112,09商業與管理群,09033,I49,國立高雄科技大學,會計資訊系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.00 + 專業(二)*3.00,37,37,573.0,,國立科大,資訊類
112,09商業與管理群,09034,I3,國立高雄科技大學,金融資訊系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,11,11,771.5,,國立科大,資訊類
112,09商業與管理群,09035,I54,國立高雄科技大學,財政稅務系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,32,32,465.0,,國立科大,商管類
112,09商業與管理群,09036,I11,國立高雄科技大學,觀光管理系,國文*1.00 + 英文*1.50 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,4,4,657.25,56.0,國立科大,商管類
112,09商業與管理群,09037,I3,國立高雄科技大學,智慧商務系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,21,21,715.0,,國立科大,商管類
112,09商業與管理群,09038,I30,國立高雄科技大學,航運管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,26,26,595.0,,國立科大,商管類
112,09商業與管理群,09039,I35,國立高雄科技大學,商務資訊應用系,國文*1.00 + 英文*1.00 + 數學*2.00 + 專業(一)*2.50 + 專業(二)*2.50,16,16,574.0,,國立科大,資訊類
112,09商業與管理群,09040,I7,國立高雄科技大學,供應鏈管理系,國文*1.00 + 英文*1.75 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,8,8,696.75,,國立科大,商管類
112,09商業與管理群,09041,I4,國立高雄科技大學,海洋休閒管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,7,7,602.0,,國立科大,商管類
112,09商業與管理群,09042,I47,國立高雄科技大學,應用英語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,10,10,590.0,,國立科大,語文類
112,09商業與管理群,09043,I48,國立高雄科技大學,應用日語系,國文*1.50 + 英文*1.50 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,5,5,590.5,,國立科大,語文類
112,09商業與管理群,09044,I30,國立高雄科技大學,應用德語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,5,5,565.0,,國立科大,語文類
112,09商業與管理群,09045,I1,國立高雄科技大學,文化創意產業系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,9,9,684.0,,國立科大,設計類
112,09商業與管理群,09046,I54,國立高雄科技大學,人力資源發展系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,16,16,438.0,,國立科大,商管類
112,09商業與管理群,09047,I54,國立高雄科技大學,漁業科技與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,10,10,397.0,,國立科大,商管類
112,09商業與管理群,09048,I25,國立高雄科技大學,航運技術系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*2.00,5,5,500.0,,國立科大,工程類
112,09商業與管理群,09049,I54,國立高雄科技大學,海事資訊科技系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,12,12,410.5,,國立科大,資訊類
112,09商業與管理群,09050,I41,國立高雄科技大學,高瞻科技不分系學士學位學程,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.25 + 專業(二)*3.00,4,4,575.75,,國立科大,其他
112,09商業與管理群,09051,I47,國立虎尾科技大學,工業管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,24,24,528.0,50.0,國立科大,商管類
112,09商業與管理群,09052,I54,國立虎尾科技大學,應用外語系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,29,29,400.0,,國立科大,語文類
112,09商業與管理群,09053,I54,國立虎尾科技大學,財務金融系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,30,30,442.0,,國立科大,商管類
112,09商業與管理群,09054,I54,國立虎尾科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,51,51,417.5,68.0,國立科大,商管類
112,09商業與管理群,09055,I54,國立虎尾科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,21,21,437.75,,國立科大,資訊類
112,09商業與管理群,09056,I1,國立澎湖科技大學,觀光休閒系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,18,18,468.0,,國立科大,餐旅觀光類
112,09商業與管理群,09057,I54,國立澎湖科技大學,海洋遊憩系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,19,19,272.0,,國立科大,其他
112,09商業與管理群,09058,I4,國立澎湖科技大學,航運管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,23,23,426.0,,國立科大,商管類
112,09商業與管理群,09059,I3,國立澎湖科技大學,資訊管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,33,33,484.0,,國立科大,資訊類
112,09商業與管理群,09060,I13,國立澎湖科技大學,行銷與物流管理系,國文*2.00 + 英文*1.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,28,28,447.5,,國立科大,商管類
112,09商業與管理群,09061,I16,國立澎湖科技大學,應用外語系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,14,14,358.0,,國立科大,語文類
112,09商業與管理群,09062,I3,國立勤益科技大學,資訊工程系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,3,3,717.0,62.0,國立科大,資訊類
112,09商業與管理群,09063,I3,國立勤益科技大學,工業工程與管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,25,25,668.0,74.0,國立科大,工程類
112,09商業與管理群,09064,I54,國立勤益科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,50,50,429.5,64.0,國立科大,商管類
112,09商業與管理群,09065,I3,國立勤益科技大學,資訊管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,25,25,688.0,,國立科大,資訊類
112,09商業與管理群,09066,I54,國立勤益科技大學,流通管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,40,40,427.0,66.0,國立科大,商管類
112,09商業與管理群,09067,I54,國立勤益科技大學,健康產業科技研發與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,5,5,424.0,,國立科大,商管類
112,09商業與管理群,09068,I47,國立勤益科技大學,應用英語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,8,8,538.0,,國立科大,語文類
112,09商業與管理群,09069,I54,國立勤益科技大學,文化創意事業系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,8,8,421.5,66.0,國立科大,設計類
112,09商業與管理群,09070,I3,國立勤益科技大學,人工智慧應用工程系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,8,8,713.0,,國立科大,資訊類
112,09商業與管理群,09071,I31,國立臺北護理健康大學,高齡健康照護系,國文*1.50 + 英文*1.50 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,7,7,551.75,,國立大學,醫護健康類
112,09商業與管理群,09072,I54,國立臺北護理健康大學,健康事業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,30,30,437.5,72.0,國立大學,商管類
112,09商業與管理群,09073,I54,國立臺北護理健康大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,17,17,484.5,,國立大學,資訊類
112,09商業與管理群,09074,I30,國立臺北護理健康大學,休閒產業與健康促進系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,3,3,583.0,,國立大學,餐旅觀光類
112,09商業與管理群,09075,I30,國立臺北護理健康大學,生死與健康心理諮商系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,9,9,602.0,,國立大學,醫護健康類
112,09商業與管理群,09076,I30,國立高雄餐旅大學,餐旅暨會展行銷管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,4,4,527.0,,國立大學,商管類
112,09商業與管理群,09077,I30,國立高雄餐旅大學,休閒暨遊憩管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,11,11,518.0,,國立大學,商管類
112,09商業與管理群,09078,I30,國立高雄餐旅大學,應用英語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,2,2,552.5,,國立大學,語文類
112,09商業與管理群,09079,I47,國立臺中科技大學,國際貿易與經營系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,20,20,616.0,,國立科大,商管類
112,09商業與管理群,09080,I47,國立臺中科技大學,財政稅務系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,40,40,606.5,62.0,國立科大,商管類
112,09商業與管理群,09081,I54,國立臺中科技大學,財務金融系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,44,44,493.0,74.0,國立科大,商管類
112,09商業與管理群,09082,I54,國立臺中科技大學,會計資訊系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,26,26,477.5,,國立科大,資訊類
112,09商業與管理群,09083,I19,國立臺中科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.25 + 專業(一)*3.00 + 專業(二)*2.25,13,13,592.5,,國立科大,資訊類
112,09商業與管理群,09084,I54,國立臺中科技大學,流通管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,21,21,464.5,,國立科大,商管類
112,09商業與管理群,09085,I54,國立臺中科技大學,應用統計系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,16,16,466.0,,國立科大,商管類
112,09商業與管理群,09086,I54,國立臺中科技大學,休閒事業經營系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,5,5,457.0,,國立科大,餐旅觀光類
112,09商業與管理群,09087,I1,國立臺中科技大學,保險金融管理系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,22,22,742.0,72.0,國立科大,商管類
112,09商業與管理群,09088,I1,國立臺中科技大學,企業管理系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,10,10,756.5,,國立科大,商管類
112,09商業與管理群,09089,I28,國立臺中科技大學,應用英語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*3.00,13,13,616.0,,國立科大,語文類
112,09商業與管理群,09090,I47,國立臺中科技大學,應用日語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,11,11,572.0,,國立科大,語文類
112,09商業與管理群,09091,I34,國立臺中科技大學,應用中文系,國文*2.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,5,5,584.0,,國立科大,語文類
112,09商業與管理群,09092,I54,國立臺中科技大學,護理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,10,10,433.0,,國立科大,醫護健康類
112,09商業與管理群,09093,I54,國立臺中科技大學,老人服務事業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,10,10,437.0,,國立科大,商管類
112,09商業與管理群,09094,I3,國立臺中科技大學,人工智慧應用工程學士學位學程,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,7,7,728.5,,國立科大,資訊類
112,09商業與管理群,09095,I3,國立臺中科技大學,資訊工程系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,8,8,769.0,,國立科大,資訊類
112,09商業與管理群,09096,I29,國立臺北商業大學,會計資訊系（臺北校區）,國文*1.00 + 英文*1.50 + 數學*2.00 + 專業(一)*2.50 + 專業(二)*3.00,16,16,768.63,,國立大學,資訊類
112,09商業與管理群,09097,I43,國立臺北商業大學,財務金融系（臺北校區）,國文*1.00 + 英文*1.25 + 數學*1.25 + 專業(一)*2.25 + 專業(二)*2.25,14,14,628.63,,國立大學,商管類
112,09商業與管理群,09098,I54,國立臺北商業大學,財政稅務系（臺北校區）,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,21,21,533.0,80.0,國立大學,商管類
112,09商業與管理群,09099,I54,國立臺北商業大學,國際商務系（臺北校區）,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,21,21,521.0,,國立大學,商管類
112,09商業與管理群,09100,I32,國立臺北商業大學,企業管理系（臺北校區）,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.50 + 專業(二)*2.50,20,20,667.63,,國立大學,商管類
112,09商業與管理群,09101,I43,國立臺北商業大學,資訊管理系（臺北校區）,國文*1.00 + 英文*1.25 + 數學*1.25 + 專業(一)*2.25 + 專業(二)*2.25,11,11,608.25,76.0,國立大學,資訊類
112,09商業與管理群,09102,I46,國立臺北商業大學,商業設計管理系（桃園校區）,國文*1.00 + 英文*1.25 + 數學*1.00 + 專業(一)*2.25 + 專業(二)*2.00,10,10,504.5,,國立大學,設計類
112,09商業與管理群,09103,I35,國立臺北商業大學,數位多媒體設計系（桃園校區）,國文*1.00 + 英文*1.00 + 數學*2.00 + 專業(一)*2.50 + 專業(二)*2.50,9,9,591.5,80.0,國立大學,資訊類
112,09商業與管理群,09104,I54,朝陽科技大學,財務金融系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,61,61,374.25,,私立科大,商管類
112,09商業與管理群,09105,I54,朝陽科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,30,30,368.0,,私立科大,商管類
112,09商業與管理群,09106,I54,朝陽科技大學,保險金融管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,38,38,353.0,,私立科大,商管類
112,09商業與管理群,09107,I54,朝陽科技大學,會計系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,49,49,338.0,,私立科大,商管類
112,09商業與管理群,09108,I54,朝陽科技大學,休閒事業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,16,16,357.0,52.0,私立科大,商管類
112,09商業與管理群,09109,I54,朝陽科技大學,行銷與流通管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,21,21,371.5,,私立科大,商管類
112,09商業與管理群,09110,I54,朝陽科技大學,銀髮產業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,18,18,321.5,,私立科大,商管類
112,09商業與管理群,09111,I54,朝陽科技大學,工業工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,14,14,363.5,,私立科大,工程類
112,09商業與管理群,09112,I54,朝陽科技大學,環境工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,13,13,341.0,,私立科大,工程類
112,09商業與管理群,09113,I30,朝陽科技大學,應用英語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,7,7,489.0,,私立科大,語文類
112,09商業與管理群,09114,I54,朝陽科技大學,幼兒保育系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,4,4,343.5,,私立科大,教育類
112,09商業與管理群,09115,I34,朝陽科技大學,社會工作系,國文*2.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,16,16,439.5,,私立科大,社會法政類
112,09商業與管理群,09116,I54,朝陽科技大學,資訊管理系資訊管理組,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,20,20,368.0,54.0,私立科大,資訊類
112,09商業與管理群,09117,I54,朝陽科技大學,資訊管理系數位多媒體組,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,3,3,414.5,,私立科大,資訊類
112,09商業與管理群,09118,I54,朝陽科技大學,資訊工程系人工智慧組,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,4,4,400.5,,私立科大,資訊類
112,09商業與管理群,09119,I30,朝陽科技大學,飛行與民航人員技術系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,12,12,450.0,,私立科大,其他
112,09商業與管理群,09120,I54,朝陽科技大學,航空運務系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,6,6,369.0,,私立科大,工程類
112,09商業與管理群,09121,I54,南臺科技大學,資訊工程系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,30,29,204.0,,私立科大,資訊類
112,09商業與管理群,09122,I36,南臺科技大學,工業管理與資訊系電子商務組,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,28,14,188.0,,私立科大,資訊類
112,09商業與管理群,09123,I54,南臺科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,79,55,174.0,,私立科大,資訊類
112,09商業與管理群,09124,I50,南臺科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,55,55,210.0,,私立科大,商管類
112,09商業與管理群,09125,I8,南臺科技大學,行銷與流通管理系,國文*2.00 + 英文*1.50 + 數學*1.50 + 專業(一)*3.00 + 專業(二)*3.00,48,48,411.25,,私立科大,商管類
112,09商業與管理群,09126,I30,南臺科技大學,休閒事業管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,18,18,310.0,,私立科大,商管類
112,09商業與管理群,09127,I15,南臺科技大學,餐旅管理系,國文*1.50 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,6,6,403.0,,私立科大,商管類
112,09商業與管理群,09128,I20,南臺科技大學,國際企業系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*2.00,30,24,281.0,,私立科大,商管類
112,09商業與管理群,09129,I49,南臺科技大學,財務金融系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.00 + 專業(二)*3.00,77,77,294.0,,私立科大,商管類
112,09商業與管理群,09130,I31,南臺科技大學,資訊傳播系,國文*1.50 + 英文*1.50 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,7,5,325.0,,私立科大,資訊類
112,09商業與管理群,09131,I54,南臺科技大學,多媒體與電腦娛樂科學系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,7,7,289.0,,私立科大,資訊類
112,09商業與管理群,09132,I1,南臺科技大學,流行音樂產業系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,1,1,534.0,,私立科大,藝術人文類
112,09商業與管理群,09133,I54,南臺科技大學,應用英語系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,7,7,296.5,,私立科大,語文類
112,09商業與管理群,09134,I54,南臺科技大學,應用日語系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,7,7,312.0,,私立科大,語文類
112,09商業與管理群,09135,I50,南臺科技大學,幼兒保育系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,8,8,208.0,,私立科大,教育類
112,09商業與管理群,09136,I54,南臺科技大學,高齡福祉服務系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,13,8,165.5,,私立科大,其他
