student_id,畢業年度,班級_標準,錄取管道,錄取管道_原始,錄取學校,學校類型,錄取科系,科系分類,錄取身分,二階結果,資料來源
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣體育運動大學,國立大學,運動事業管理學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,工業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,萬能科技大學,私立科大,餐飲管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立屏東大學,國立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,休閒事業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,企業管理系（臺北校區）,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,財政稅務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,會計學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,會計資訊系（臺北校區）,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,人力資源發展系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立虎尾科技大學,國立科大,工業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,數位媒體設計系,設計類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北科技大學,國立科大,資訊與財金管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,應用外語系,語文類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,財務金融系投資理財組,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,應用日語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用統計系,商管類,,,總榜單
,112,,統測分發,科大登分,國立雲林科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立澎湖科技大學,國立科大,觀光休閒系,餐旅觀光類,,,總榜單
,112,,統測分發,科大登分,國立高雄餐旅大學,國立大學,休閒暨遊憩管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,空中進修學院企管科,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,資訊與財金管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,供應鏈管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,休閒事業經營系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,財稅學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立宜蘭大學,國立大學,應用經濟與管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,國際經營與貿易學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,實踐大學,私立大學,時尚設計學系,設計類,,,總榜單
,112,,統測分發,科大登分,明新科技大學,私立科大,財務金融系智慧理財組,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,供應鏈管理系,商管類,,,總榜單
,112,,統測分發,科大登分,明新科技大學,私立科大,土木工程與環境資源管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立屏東大學,國立大學,企業管理學系,商管類,,,總榜單
,112,,統測分發,科大登分,弘光科技大學,私立科大,護理系,醫護健康類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,數位媒體設計系,設計類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用統計系,商管類,,,總榜單
,112,,統測分發,科大登分,南臺科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立屏東大學,國立大學,行銷與流通管理學系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,應用英語系,語文類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,飛行與民航人員技術系,其他,,,總榜單
,112,,獨立招生,獨立招生,臺灣警察專科學校,其他,消防安全科,其他,,,總榜單
,112,,統測分發,科大登分,弘光科技大學,私立科大,文化設計與行銷系,設計類,,,總榜單
,112,,科大甄選,科大甄選,嶺東科技大學,私立科大,幼兒保育系,教育類,,,總榜單
,112,,統測分發,科大登分,國立虎尾科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,會計學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,會計學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立聯合大學,國立大學,經營管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,健康事業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,國際經營與貿易學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,數位多媒體設計系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,會計系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立屏東科技大學,國立科大,財務金融國際學士學位學程,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,企業管理系時尚產業管理組,設計類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,資訊工程系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立虎尾科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,企業管理系,商管類,,,總榜單
,112,,技優,技優甄審,國立臺灣科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立中興大學,國立大學,應用經濟學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,生死與健康心理諮商系,醫護健康類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺北護理健康大學,國立大學,高齡健康照護系,醫護健康類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,金融資訊系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,運籌管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,獨立招生,獨立招生,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立虎尾科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立體育大學,國立大學,休閒產業經營學系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,國立虎尾科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,朝陽科技大學,私立科大,資訊管理系資訊管理組,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,財政稅務系（臺北校區）,商管類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,國際商務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立屏東大學,國立大學,應用日語學系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,人力資源發展系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,運籌管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立宜蘭大學,國立大學,應用經濟與管理學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,應用英語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立暨南國際大學,國立大學,觀光休閒與餐旅管理學系觀光休閒組,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用統計系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,國際商務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,國立虎尾科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,海事資訊科技系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立宜蘭大學,國立大學,應用經濟與管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立體育大學,國立大學,休閒產業經營學系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,文藻外語大學,私立大學,英國語文系,其他,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立雲林科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,會計資訊系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,文化創意產業系,設計類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,合作經濟暨社會事業經營學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,長庚科技大學,私立科大,護理系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北科技大學,國立科大,材料及資源工程系資源組,工程類,,,總榜單
,112,,統測分發,科大登分,弘光科技大學,私立科大,多媒體遊戲發展與應用系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,會計學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,行銷與流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,休閒遊憩管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立雲林科技大學,國立科大,文化資產維護系,藝術人文類,,,總榜單
,112,,統測分發,科大登分,明新科技大學,私立科大,國際商務外語系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立宜蘭大學,國立大學,應用經濟與管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立高雄餐旅大學,國立大學,應用日語系,語文類,,,總榜單
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,工業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,資訊管理學系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,靜宜大學,私立大學,國際企業學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,資訊管理學系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立澎湖科技大學,國立科大,觀光休閒系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,國際企業系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,統測分發,科大登分,德明財經科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,風險管理與保險學系,商管類,,,總榜單
,112,,統測分發,科大登分,台南應用科技大學,私立科大,室內設計系,設計類,,,總榜單
,112,,統測分發,科大登分,國立澎湖科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,護理系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,財務金融系投資理財組,商管類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,應用英語系,語文類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,會計系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,人工智慧應用工程系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,景文科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,南臺科技大學,私立科大,資訊工程系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,國際經營與貿易學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用統計系,商管類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,靜宜大學,私立大學,國際企業學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣藝術大學,國立大學,圖文傳播藝術學系,傳播類,,,總榜單
,112,,科大甄選,科大甄選,文藻外語大學,私立大學,英國語文系,其他,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,國際商務系（臺北校區）,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,財政稅務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,金融資訊系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,風險管理與保險系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立屏東科技大學,國立科大,資訊管理系（資安人才）,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,國際貿易與經營系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,商業設計管理系（臺北校區）,設計類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立聯合大學,國立大學,經營管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,長庚科技大學,私立科大,護理系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,明志科技大學,私立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用英語系,語文類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,老人服務事業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立虎尾科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立臺北護理健康大學,國立大學,生死與健康心理諮商系,醫護健康類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,應用英語系,語文類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,運籌管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,企業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,人工智慧應用工程 學士學位學程,資訊類,,,總榜單
,112,,統測分發,科大登分,台北海洋科技大學,私立科大,海空物流與行銷管理系,商管類,,,總榜單
,112,,統測分發,科大登分,明新科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,慈濟科技大學,私立科大,醫學影像暨放射科學系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,休閒事業經營系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,國際企業系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,流通管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立虎尾科技大學,國立科大,應用外語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,醒吾科技大學,私立科大,行銷與流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,高齡健康照護系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,國際商務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立澎湖科技大學,國立科大,海洋遊憩系,其他,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,航運技術系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,企業管理系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,嶺東科技大學,私立科大,應用外語系應用英語組,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,觀光管理系,商管類,,,總榜單
,112,,統測分發,科大登分,長庚科技大學,私立科大,護理系,醫護健康類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立雲林科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,資訊工程系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,長庚學校財團法人長庚科技大學,私立科大,護理系（林口校區）,醫護健康類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,健康事業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,國際經營與貿易學系,商管類,,,總榜單
,112,,統測分發,科大登分,長庚科技大學,私立科大,護理系,醫護健康類,,,總榜單
,112,,統測分發,科大登分,國立金門大學,國立大學,企業管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣海洋大學,國立大學,海洋經營管理學士學位學程,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用日語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用英語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,靜宜大學,私立大學,財務金融學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,致理科技大學,私立科大,應用英語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北護理健康大學,國立大學,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,流通管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,企業管理系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北護理健康大學,國立大學,生死與健康心理諮商系,醫護健康類,,,總榜單
,112,,統測分發,科大登分,南臺科技大學,私立科大,幼兒保育系,教育類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,企業管理系/國際貿易系,商管類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,產學攜手,會產專班,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
